code,date,value,description
CKTCEUS,197301,108.256,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197302,97.667,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197303,97.333,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197304,93.052,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197305,94.311,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197306,97.724,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197307,103.131,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197308,105.357,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197309,98.261,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197310,101.028,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197311,101.436,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197312,108.718,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197313,1206.274,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197401,107.129,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197402,96.895,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197403,98.365,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197404,93.412,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197405,96.59,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197406,94.949,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197407,103.635,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197408,103.888,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197409,94.494,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197410,99.061,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197411,95.464,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197412,101.357,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197413,1185.239,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197501,106.353,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197502,97.813,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197503,100.493,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197504,93.139,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197505,91.555,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197506,95.011,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197507,100.319,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197508,103.353,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197509,92.997,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197510,94.857,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197511,97.182,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197512,107.66,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197513,1180.733,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197601,111.59,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197602,98.91,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197603,102.754,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197604,98.184,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197605,98.784,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197606,102.273,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197607,108.981,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197608,109.895,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197609,100.919,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197610,104.985,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197611,109.622,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197612,118.75,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197613,1265.646,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197701,117.713,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197702,104.646,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197703,105.421,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197704,97.301,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197705,103.219,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197706,108.423,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197707,117.106,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197708,114.475,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197709,106.411,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197710,105.598,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197711,106.259,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197712,112.972,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197713,1299.545,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197801,111.357,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
CKTCEUS,197802,93.109,"Coal, Including Coal Coke Net Imports, CO2 Emissions"
