date,value
1973-01-01,454.3
1973-02-01,415.351
1973-03-01,407.758
1973-04-01,368.216
1973-05-01,376.081
1973-06-01,360.003
1973-07-01,369.621
1973-08-01,385.367
1973-09-01,361.381
1973-10-01,385.358
1973-11-01,408.678
1973-12-01,429.85
1974-01-01,429.333
1974-02-01,390.817
1974-03-01,392.583
1974-04-01,361.058
1974-05-01,360.141
1974-06-01,346.917
1974-07-01,367.535
1974-08-01,370.01
1974-09-01,350.019
1974-10-01,381.702
1974-11-01,386.01
1974-12-01,425.096
1975-01-01,438.815
1975-02-01,384.012
1975-03-01,393.682
1975-04-01,357.751
1975-05-01,336.103
1975-06-01,333.135
1975-07-01,346.624
1975-08-01,352.972
1975-09-01,336.634
1975-10-01,360.343
1975-11-01,357.903
1975-12-01,428.469
1976-01-01,452.36
1976-02-01,394.326
1976-03-01,395.728
1976-04-01,364.25
1976-05-01,356.882
1976-06-01,357.523
1976-07-01,369.286
1976-08-01,366.882
1976-09-01,353.777
1976-10-01,384.073
1976-11-01,420.048
1976-12-01,478.997
1977-01-01,489.281
1977-02-01,418.962
1977-03-01,408.037
1977-04-01,370.016
1977-05-01,370.18
1977-06-01,376.614
1977-07-01,387.507
1977-08-01,391.264
1977-09-01,377.076
1977-10-01,387.758
1977-11-01,399.75
1977-12-01,459.1
1978-01-01,469.889
1978-02-01,430.785
1978-03-01,422.829
1978-04-01,376.735
1978-05-01,385.561
1978-06-01,374.702
1978-07-01,386.289
1978-08-01,399.505
1978-09-01,374.175
1978-10-01,392.82
1978-11-01,410.161
1978-12-01,460.433
1979-01-01,494.631
1979-02-01,454.449
1979-03-01,435.992
1979-04-01,382.909
1979-05-01,387.539
1979-06-01,377.983
1979-07-01,385.36
1979-08-01,398.041
1979-09-01,370.379
1979-10-01,399.546
1979-11-01,407.952
1979-12-01,451.859
1980-01-01,463.558
1980-02-01,438.026
1980-03-01,427.419
1980-04-01,373.297
1980-05-01,360.645
1980-06-01,354.753
1980-07-01,375.787
1980-08-01,371.068
1980-09-01,362.674
1980-10-01,381.419
1980-11-01,390.894
1980-12-01,450.698
1981-01-01,469.631
1981-02-01,396.236
1981-03-01,400.991
1981-04-01,355.66
1981-05-01,356.561
1981-06-01,362.375
1981-07-01,379.607
1981-08-01,371.801
1981-09-01,355.292
1981-10-01,374.974
1981-11-01,373.278
1981-12-01,430.673
1982-01-01,452.335
1982-02-01,393.393
1982-03-01,392.341
1982-04-01,363.164
1982-05-01,336.478
1982-06-01,331.981
1982-07-01,350.681
1982-08-01,352.034
1982-09-01,333.115
1982-10-01,342.869
1982-11-01,358.37
1982-12-01,387.409
1983-01-01,410.061
1983-02-01,359.094
1983-03-01,381.061
1983-04-01,346.779
1983-05-01,335.843
1983-06-01,336.826
1983-07-01,360.1
1983-08-01,373.936
1983-09-01,345.412
1983-10-01,345.006
1983-11-01,358.676
1983-12-01,417.861
1984-01-01,460.836
1984-02-01,393.426
1984-03-01,410.207
1984-04-01,372.786
1984-05-01,364.6
1984-06-01,361.265
1984-07-01,369.774
1984-08-01,382.484
1984-09-01,346.208
1984-10-01,361.737
1984-11-01,371.845
1984-12-01,400.991
1985-01-01,443.387
1985-02-01,410.151
1985-03-01,393.249
1985-04-01,366.593
1985-05-01,360.092
1985-06-01,352.165
1985-07-01,372.698
1985-08-01,378.958
1985-09-01,344.226
1985-10-01,362.802
1985-11-01,365.208
1985-12-01,437.55
1986-01-01,448.17
1986-02-01,398.487
1986-03-01,405.681
1986-04-01,362.609
1986-05-01,362.177
1986-06-01,362.344
1986-07-01,386.008
1986-08-01,375.686
1986-09-01,347.502
1986-10-01,360.215
1986-11-01,366.94
1986-12-01,422.5
1987-01-01,446.847
1987-02-01,401.368
1987-03-01,401.955
1987-04-01,377.183
1987-05-01,370.686
1987-06-01,380.184
1987-07-01,404.381
1987-08-01,397.36
1987-09-01,367.931
1987-10-01,384.402
1987-11-01,383.458
1987-12-01,440.705
1988-01-01,471.297
1988-02-01,440.391
1988-03-01,437.328
1988-04-01,385.707
1988-05-01,379.32
1988-06-01,391.111
1988-07-01,408.016
1988-08-01,424.726
1988-09-01,378.697
1988-10-01,398.133
1988-11-01,406.039
1988-12-01,459.931
1989-01-01,459.557
1989-02-01,438.53
1989-03-01,453.059
1989-04-01,399.107
1989-05-01,394.009
1989-06-01,399.007
1989-07-01,406.49
1989-08-01,416.044
1989-09-01,385.199
1989-10-01,403.326
1989-11-01,414.28
1989-12-01,499.302
1990-01-01,464.897
1990-02-01,414.403
1990-03-01,433.556
1990-04-01,403.915
1990-05-01,401.193
1990-06-01,405.172
1990-07-01,419.669
1990-08-01,434.838
1990-09-01,395.482
1990-10-01,410.16
1990-11-01,405.707
1990-12-01,450.912
1991-01-01,476.813
1991-02-01,405.748
1991-03-01,421.929
1991-04-01,387.789
1991-05-01,392.247
1991-06-01,394.023
1991-07-01,418.57
1991-08-01,420.826
1991-09-01,392.217
1991-10-01,408.563
1991-11-01,420.271
1991-12-01,455.611
1992-01-01,471.386
1992-02-01,427.866
1992-03-01,441.794
1992-04-01,410.642
1992-05-01,400.353
1992-06-01,395.591
1992-07-01,428.422
1992-08-01,416.075
1992-09-01,397.712
1992-10-01,411.801
1992-11-01,418.033
1992-12-01,475.263
1993-01-01,462.061
1993-02-01,439.134
1993-03-01,465.081
1993-04-01,408.383
1993-05-01,390.209
1993-06-01,405.045
1993-07-01,437.737
1993-08-01,438.225
1993-09-01,406.562
1993-10-01,417.691
1993-11-01,434.71
1993-12-01,480.913
1994-01-01,509.587
1994-02-01,461.161
1994-03-01,453.021
1994-04-01,413.701
1994-05-01,408.551
1994-06-01,428.059
1994-07-01,435.317
1994-08-01,442.663
1994-09-01,406.193
1994-10-01,417.568
1994-11-01,417.696
1994-12-01,470.037
1995-01-01,480.657
1995-02-01,447.543
1995-03-01,454.032
1995-04-01,412.553
1995-05-01,415.516
1995-06-01,422.119
1995-07-01,445.058
1995-08-01,465.773
1995-09-01,419.764
1995-10-01,421.151
1995-11-01,444.477
1995-12-01,494.563
1996-01-01,513.941
1996-02-01,476.105
1996-03-01,477.145
1996-04-01,430.081
1996-05-01,432.961
1996-06-01,433.643
1996-07-01,454.741
1996-08-01,461.767
1996-09-01,421.368
1996-10-01,450.856
1996-11-01,462.335
1996-12-01,497.172
1997-01-01,519.674
1997-02-01,456.442
1997-03-01,468.024
1997-04-01,442.41
1997-05-01,436.897
1997-06-01,438.827
1997-07-01,479.085
1997-08-01,466.343
1997-09-01,440.166
1997-10-01,457.985
1997-11-01,462.359
1997-12-01,514.659
1998-01-01,508.45
1998-02-01,451.377
1998-03-01,481.29
1998-04-01,445.375
1998-05-01,447.115
1998-06-01,460.796
1998-07-01,492.625
1998-08-01,491.965
1998-09-01,454.081
1998-10-01,451.499
1998-11-01,445.639
1998-12-01,501.189
1999-01-01,524.294
1999-02-01,458.793
1999-03-01,493.685
1999-04-01,453.359
1999-05-01,446.877
1999-06-01,457.608
1999-07-01,494.313
1999-08-01,494.352
1999-09-01,448.93
1999-10-01,459.907
1999-11-01,449.297
1999-12-01,511.556
2000-01-01,530.171
2000-02-01,496.136
2000-03-01,487.026
2000-04-01,446.868
2000-05-01,470.073
2000-06-01,473.651
2000-07-01,487.849
2000-08-01,510.221
2000-09-01,462.73
2000-10-01,469.45
2000-11-01,476.709
2000-12-01,555.668
2001-01-01,554.872
2001-02-01,484.1
2001-03-01,508.37
2001-04-01,457.43
2001-05-01,458.937
2001-06-01,456.981
2001-07-01,492.277
2001-08-01,501.56
2001-09-01,444.077
2001-10-01,461.413
2001-11-01,450.751
2001-12-01,493.92
2002-01-01,520.354
2002-02-01,464.02
2002-03-01,497.044
2002-04-01,459.302
2002-05-01,460.211
2002-06-01,466
2002-07-01,501.638
2002-08-01,499.504
2002-09-01,460.705
2002-10-01,470.323
2002-11-01,481.133
2002-12-01,529.008
2003-01-01,552.616
2003-02-01,504.412
2003-03-01,501.912
2003-04-01,456.166
2003-05-01,452.425
2003-06-01,455.339
2003-07-01,495.127
2003-08-01,505.042
2003-09-01,457.636
2003-10-01,470.665
2003-11-01,472.983
2003-12-01,535.564
2004-01-01,559.581
2004-02-01,520.771
2004-03-01,502.756
2004-04-01,463.983
2004-05-01,476.639
2004-06-01,475.341
2004-07-01,502.371
2004-08-01,499.247
2004-09-01,467.992
2004-10-01,476.932
2004-11-01,485.72
2004-12-01,547.477
2005-01-01,552.86
2005-02-01,494.174
2005-03-01,522.039
2005-04-01,460.947
2005-05-01,470.937
2005-06-01,486.825
2005-07-01,513.228
2005-08-01,520.924
2005-09-01,472.861
2005-10-01,473.63
2005-11-01,477.942
2005-12-01,552.785
2006-01-01,520.776
2006-02-01,485.966
2006-03-01,511.07
2006-04-01,453.45
2006-05-01,467.273
2006-06-01,480.185
2006-07-01,513.89
2006-08-01,523.21
2006-09-01,465.681
2006-10-01,485.31
2006-11-01,479.581
2006-12-01,527.357
2007-01-01,542.459
2007-02-01,520.838
2007-03-01,507.043
2007-04-01,468.848
2007-05-01,473.654
2007-06-01,481.395
2007-07-01,505.508
2007-08-01,528.372
2007-09-01,475.942
2007-10-01,477.378
2007-11-01,481.783
2007-12-01,539.876
