facility,state,nameOfFacility,date,confirmedResidents,confirmedStaff,deathsResidents,deathsStaff,residentsRecovered,staffRecovered,residentsTested,staffTested,residentPopulation,address,zipcode,city,county,latitude,longitude,FIPS
state,Alabama,ADOC HEADQUARTERS,12/2/2020,0,32,0,0,0,25,0,,,,,,,,,
state,Alabama,ALABAMA CORRECTIONS ACADEMY,12/2/2020,0,18,0,0,0,13,0,,,,,,,,,
state,Alabama,ALEX CITY,12/2/2020,1,5,0,0,1,5,85,,,HIGHWAY 22 WEST,35011,ALEX CITY,COOSA,32.90447114,-86.00896897,1037
federal,Alabama,ALICEVILLE FCI,12/2/2020,50,,0,0,47,9,397,,,11070 HIGHWAY 14,35442,ALICEVILLE,PICKENS,33.17626974,-88.19304609,10107
state,Alabama,ATEF,12/2/2020,1,2,0,0,1,2,23,,,102 INDUSTRIAL PARKWAY,35051,COLUMBIANA,SHELBY,33.18100499,-86.62401724,1117
state,Alabama,BIBB,12/2/2020,54,41,1,0,40,18,143,,,565 BIBB LANE,35034,BRENT,BIBB,32.92242,-87.16458,1007
state,Alabama,BIRMINGHAM,12/2/2020,6,15,0,0,0,12,127,,,1216 25TH ST N,35234,BIRMINGHAM,JEFFERSON,33.53104632,-86.80836181,1073
state,Alabama,BULLOCK,12/2/2020,69,39,2,0,63,32,333,,,104 BULLOCK DR,36089,UNION SPRINGS,BULLOCK,32.14940285,-85.67232013,1011
state,Alabama,CAMDEN,12/2/2020,0,1,0,0,0,1,2,,,1780 ALABAMA HWY 221,36726,CAMDEN,WILCOX,31.99483708,-87.33312321,1131
state,Alabama,CHILDERSBURG,12/2/2020,1,9,0,0,0,5,191,,,13501 PLANT RD,35014,ALPINE,TALLADEGA,33.36493323,-86.33219762,1121
state,Alabama,DONALDSON,12/2/2020,1,17,0,0,1,6,132,,,100 WARRIOR LN,35023,BESSEMER,JEFFERSON,33.51366663,-87.18478369,1073
state,Alabama,DRAPER QIF,12/2/2020,82,0,0,0,82,0,632,,,,,,,,,
state,Alabama,EASTERLING,12/2/2020,52,23,1,0,51,14,172,,,200 WALLACE DR,36017,CLIO,BARBOUR,31.68938149,-85.58555889,1005
state,Alabama,ELBA,12/2/2020,1,4,0,0,1,2,6,,,1620 BOSWELL ST,36323,ELBA,COFFEE,31.41312386,-86.08373748,1031
state,Alabama,ELMORE,12/2/2020,27,18,0,0,27,18,80,,,3520 MARION SPILLWAY ROAD,36025,ELMORE,ELMORE,32.57430479,-86.32080582,1051
state,Alabama,FOUNTAIN,12/2/2020,19,30,1,0,18,28,108,,,9677 AL HWY 21 N,36503,ATMORE,ESCAMBIA,31.15658,-87.46372,1053
state,Alabama,FRANK LEE,12/2/2020,1,16,0,0,1,9,99,,,5305 INGRAM RD,36022,DEATSVILLE,ELMORE,32.58235451,-86.39221844,1051
state,Alabama,HAMILTON A I,12/2/2020,21,19,1,0,2,8,271,,,223 SASSER DR,35570,HAMILTON,MARION,34.12434611,-87.99171938,1093
state,Alabama,HAMILTON CBF,12/2/2020,7,15,2,0,1,2,93,,,1826 BEXAR AVE E,35570,HAMILTON,MARION,34.14329559,-87.95895958,1093
state,Alabama,HOLMAN,12/2/2020,37,24,1,0,34,21,93,,,866 ROSS RD,36503,ATMORE,ESCAMBIA,31.13438612,-87.4498642,1053
state,Alabama,KILBY,12/2/2020,10,37,1,0,9,37,727,,,12201 WARES FERRY RD,36117,MONTGOMERY,MONTGOMERY,32.38835654,-86.1009811,1101
state,Alabama,LIMESTONE,12/2/2020,76,58,3,0,56,16,"1,680",,,28779 NICK DAVIS RD,35749,HARVEST,LIMESTONE,34.81254392,-86.80413307,1083
state,Alabama,LOXLEY,12/2/2020,106,14,0,0,104,9,246,,,14880 COUNTY RD 64,36551,LOXLEY,BALDWIN,30.6153358,-87.77030984,1003
state,Alabama,MOBILE,12/2/2020,0,6,0,0,0,6,9,,,2423 N BELTLINE HWY,36610,PRITCHARD,MOBILE,30.73788106,-88.10905742,1097
federal,Alabama,MONTGOMERY FPC,12/2/2020,7,,0,0,0,2,178,,,MAXWELL AIR FORCE BASE,36112,MONTGOMERY,MONTGOMERY,32.39424124,-86.35915818,1101
state,Alabama,MONTGOMERY WF,12/2/2020,1,10,0,0,1,5,146,,,12085 WARES FERRY RD,36117,MONTGOMERY,MONTGOMERY,,,1101
state,Alabama,NORTH ALABAMA,12/2/2020,85,27,0,0,85,8,306,,,1401 STATE HIGHWAY 20 WEST,35601,DECATUR,MORGAN,34.61756728,-87.00562813,1103
state,Alabama,RED EAGLE,12/2/2020,0,2,0,0,0,1,2,,,1290 RED EAGLE RD,36110,MONTGOMERY,MONTGOMERY,32.46559439,-86.23690422,1101
federal,Alabama,RRC SPANISH FORT ALABAMA,12/2/2020,0,,,,,,0,,,,,,,,,
state,Alabama,ST CLAIR,12/2/2020,93,42,12,0,76,29,246,,,1000 SAINT CLAIR ROAD,35146,SPRINGVILLE,ST CLAIR,33.74558817,-86.38437373,1115
state,Alabama,STATON,12/2/2020,41,40,7,0,34,35,121,,,2690 MARION SPILLWAY RD,36025,ELMORE,ELMORE,32.5772157,-86.33248852,1051
federal,Alabama,TALLADEGA FCI,12/2/2020,156,,1,0,144,8,495,,,565 EAST RENFROE ROAD,35160,TALLADEGA,TALLADEGA,33.42063528,-86.14008892,1121
state,Alabama,TUTWILER PRISON FOR WOMEN,12/2/2020,16,50,1,2,15,42,673,,,,,,,,,
state,Alabama,TUTWILER QIF,12/2/2020,9,0,0,0,5,0,161,,,,,,,,,
state,Alabama,VENTRESS,12/2/2020,17,31,1,0,16,26,77,,,379 ALABAMA HWY 239 N,36016,CLAYTON,BARBOUR,31.88902864,-85.49299808,1005
state,Alaska,STATEWIDE,12/2/2020,851,,,,,,"11,931",,,,,,,,,
federal,Arizona,BEHAVIORAL SYSTEMS SOUTHWEST INC RRC PHOENIX,12/2/2020,5,,1,0,0,0,5,,,2846 E ROOSEVELT ST,85008,PHOENIX,,33.4588091,-112.0198483,4013
state,Arizona,CACF,12/2/2020,67,,3,,64,,"1,202",,,1401 E DIVERSION DAM RD,85132,FLORENCE,PINAL,33.03731012,-111.3727528,4021
federal,Arizona,CENTRAL AZ DETENTION CENTER,12/2/2020,1,,0,0,1,0,1,,,,,,,,,
state,Arizona,DOUGLAS,12/2/2020,124,,0,,121,,"1,954",,2086,6911 N BDI BLVD,85607,DOUGLAS,COCHISE,31.46242829,-109.5912299,4003
state,Arizona,EYMAN,12/2/2020,420,,1,,412,,"5,324",,5693,4374 E BUTTE AVE,85132,FLORENCE,PINAL,33.03691871,-111.3264441,4021
state,Arizona,FLORENCE,12/2/2020,288,,11,,258,,"3,268",,3924,1305 E BUTTE AVE,85132,FLORENCE,PINAL,33.02816949,-111.3707281,4021
