State,Sex,Age group,COVID-19 Deaths
United States,All Sexes,All Ages,240213
United States,All Sexes,0-17 years,123
United States,All Sexes,18-29 years,1038
United States,All Sexes,30-49 years,10658
United States,All Sexes,50-64 years,37430
United States,All Sexes,65-74 years,51667
United States,All Sexes,75-84 years,64575
United States,All Sexes,85 years and over,74722
United States,Male,All Ages,130005
United States,Male,0-17 years,73
United States,Male,18-29 years,659
United States,Male,30-49 years,7195
United States,Male,50-64 years,24344
United States,Male,65-74 years,31615
United States,Male,75-84 years,35702
United States,Male,85 years and over,30417
United States,Female,All Ages,110202
United States,Female,0-17 years,50
United States,Female,18-29 years,379
United States,Female,30-49 years,3463
United States,Female,50-64 years,13084
United States,Female,65-74 years,20051
United States,Female,75-84 years,28872
United States,Female,85 years and over,44303
United States,Unknown,All Ages,6
United States,Unknown,0-17 years,0
United States,Unknown,18-29 years,0
United States,Unknown,30-49 years,0
United States,Unknown,50-64 years,2
United States,Unknown,65-74 years,1
United States,Unknown,75-84 years,1
United States,Unknown,85 years and over,2
Alabama,All Sexes,All Ages,4288
Alabama,Male,All Ages,2217
Alabama,Male,0-17 years,0
Alabama,Male,18-29 years,11
Alabama,Male,30-49 years,115
Alabama,Male,50-64 years,425
Alabama,Male,65-74 years,617
Alabama,Male,75-84 years,637
Alabama,Male,85 years and over,411
Alabama,Female,All Ages,2071
Alabama,Female,0-17 years,0
Alabama,Female,18-29 years,0
Alabama,Female,30-49 years,87
Alabama,Female,50-64 years,337
Alabama,Female,65-74 years,447
Alabama,Female,75-84 years,550
Alabama,Female,85 years and over,644
Alabama,Unknown,All Ages,0
Alabama,Unknown,0-17 years,0
Alabama,Unknown,18-29 years,0
Alabama,Unknown,30-49 years,0
Alabama,Unknown,50-64 years,0
Alabama,Unknown,65-74 years,0
Alabama,Unknown,75-84 years,0
Alabama,Unknown,85 years and over,0
Alaska,All Sexes,All Ages,89
Alaska,Male,All Ages,49
Alaska,Male,0-17 years,0
Alaska,Male,18-29 years,0
Alaska,Male,30-49 years,0
Alaska,Male,50-64 years,0
Alaska,Male,65-74 years,15
Alaska,Male,75-84 years,14
Alaska,Male,85 years and over,10
Alaska,Female,All Ages,40
Alaska,Female,0-17 years,0
Alaska,Female,18-29 years,0
Alaska,Female,30-49 years,0
Alaska,Female,50-64 years,0
Alaska,Female,65-74 years,0
Alaska,Female,75-84 years,0
Alaska,Female,85 years and over,0
Alaska,Unknown,All Ages,0
Alaska,Unknown,0-17 years,0
Alaska,Unknown,18-29 years,0
Alaska,Unknown,30-49 years,0
Alaska,Unknown,50-64 years,0
Alaska,Unknown,65-74 years,0
Alaska,Unknown,75-84 years,0
Alaska,Unknown,85 years and over,0
Arizona,All Sexes,All Ages,5595
Arizona,Male,All Ages,3226
Arizona,Male,0-17 years,0
Arizona,Male,18-29 years,40
Arizona,Male,30-49 years,265
Arizona,Male,50-64 years,718
Arizona,Male,65-74 years,763
Arizona,Male,75-84 years,847
Arizona,Male,85 years and over,588
Arizona,Female,All Ages,2369
Arizona,Female,0-17 years,0
Arizona,Female,18-29 years,17
Arizona,Female,30-49 years,147
Arizona,Female,50-64 years,384
Arizona,Female,65-74 years,516
Arizona,Female,75-84 years,626
Arizona,Female,85 years and over,679
Arizona,Unknown,All Ages,0
Arizona,Unknown,0-17 years,0
Arizona,Unknown,18-29 years,0
Arizona,Unknown,30-49 years,0
Arizona,Unknown,50-64 years,0
Arizona,Unknown,65-74 years,0
Arizona,Unknown,75-84 years,0
Arizona,Unknown,85 years and over,0
Arkansas,All Sexes,All Ages,2270
Arkansas,Male,All Ages,1162
Arkansas,Male,0-17 years,0
Arkansas,Male,18-29 years,0
Arkansas,Male,30-49 years,52
Arkansas,Male,50-64 years,205
Arkansas,Male,65-74 years,258
Arkansas,Male,75-84 years,355
Arkansas,Male,85 years and over,287
Arkansas,Female,All Ages,1108
Arkansas,Female,0-17 years,0
Arkansas,Female,18-29 years,0
Arkansas,Female,30-49 years,48
Arkansas,Female,50-64 years,125
Arkansas,Female,65-74 years,187
Arkansas,Female,75-84 years,296
Arkansas,Female,85 years and over,448
Arkansas,Unknown,All Ages,0
Arkansas,Unknown,0-17 years,0
Arkansas,Unknown,18-29 years,0
Arkansas,Unknown,30-49 years,0
Arkansas,Unknown,50-64 years,0
Arkansas,Unknown,65-74 years,0
Arkansas,Unknown,75-84 years,0
Arkansas,Unknown,85 years and over,0
California,All Sexes,All Ages,18095
California,Male,All Ages,10484
California,Male,0-17 years,0
California,Male,18-29 years,76
California,Male,30-49 years,829
California,Male,50-64 years,2484
California,Male,65-74 years,2547
California,Male,75-84 years,2400
California,Male,85 years and over,2145
California,Female,All Ages,7611
California,Female,0-17 years,0
California,Female,18-29 years,48
California,Female,30-49 years,345
California,Female,50-64 years,1045
California,Female,65-74 years,1410
California,Female,75-84 years,1882
California,Female,85 years and over,2878
California,Unknown,All Ages,0
California,Unknown,0-17 years,0
California,Unknown,18-29 years,0
California,Unknown,30-49 years,0
California,Unknown,50-64 years,0
California,Unknown,65-74 years,0
California,Unknown,75-84 years,0
California,Unknown,85 years and over,0
Colorado,All Sexes,All Ages,2521
Colorado,Male,All Ages,1399
Colorado,Male,0-17 years,0
Colorado,Male,18-29 years,0
Colorado,Male,30-49 years,65
Colorado,Male,50-64 years,232
Colorado,Male,65-74 years,308
Colorado,Male,75-84 years,387
Colorado,Male,85 years and over,398
Colorado,Female,All Ages,1122
Colorado,Female,0-17 years,0
Colorado,Female,18-29 years,0
Colorado,Female,30-49 years,25
Colorado,Female,50-64 years,91
Colorado,Female,65-74 years,166
Colorado,Female,75-84 years,316
Colorado,Female,85 years and over,521
Colorado,Unknown,All Ages,0
Colorado,Unknown,0-17 years,0
Colorado,Unknown,18-29 years,0
Colorado,Unknown,30-49 years,0
Colorado,Unknown,50-64 years,0
Colorado,Unknown,65-74 years,0
Colorado,Unknown,75-84 years,0
Colorado,Unknown,85 years and over,0
Connecticut,All Sexes,All Ages,4577
Connecticut,Male,All Ages,2199
Connecticut,Male,0-17 years,0
Connecticut,Male,18-29 years,0
Connecticut,Male,30-49 years,59
Connecticut,Male,50-64 years,296
Connecticut,Male,65-74 years,475
Connecticut,Male,75-84 years,604
Connecticut,Male,85 years and over,761
Connecticut,Female,All Ages,2378
Connecticut,Female,0-17 years,0
Connecticut,Female,18-29 years,0
Connecticut,Female,30-49 years,25
Connecticut,Female,50-64 years,146
Connecticut,Female,65-74 years,311
Connecticut,Female,75-84 years,594
Connecticut,Female,85 years and over,1299
Connecticut,Unknown,All Ages,0
Connecticut,Unknown,0-17 years,0
Connecticut,Unknown,18-29 years,0
Connecticut,Unknown,30-49 years,0
Connecticut,Unknown,50-64 years,0
Connecticut,Unknown,65-74 years,0
Connecticut,Unknown,75-84 years,0
Connecticut,Unknown,85 years and over,0
Delaware,All Sexes,All Ages,641
Delaware,Male,All Ages,301
Delaware,Male,0-17 years,0
Delaware,Male,18-29 years,0
Delaware,Male,30-49 years,11
Delaware,Male,50-64 years,46
Delaware,Male,65-74 years,82
Delaware,Male,75-84 years,87
Delaware,Male,85 years and over,73
Delaware,Female,All Ages,340
Delaware,Female,0-17 years,0
Delaware,Female,18-29 years,0
Delaware,Female,30-49 years,0
Delaware,Female,50-64 years,42
Delaware,Female,65-74 years,49
Delaware,Female,75-84 years,92
Delaware,Female,85 years and over,146
Delaware,Unknown,All Ages,0
Delaware,Unknown,0-17 years,0
Delaware,Unknown,18-29 years,0
Delaware,Unknown,30-49 years,0
Delaware,Unknown,50-64 years,0
Delaware,Unknown,65-74 years,0
Delaware,Unknown,75-84 years,0
Delaware,Unknown,85 years and over,0
Florida,All Sexes,All Ages,17342
Florida,Male,All Ages,9720
Florida,Male,0-17 years,0
Florida,Male,18-29 years,41
Florida,Male,30-49 years,438
Florida,Male,50-64 years,1601
Florida,Male,65-74 years,2316
Florida,Male,75-84 years,2910
Florida,Male,85 years and over,2411
Florida,Female,All Ages,7622
Florida,Female,0-17 years,0
Florida,Female,18-29 years,21
Florida,Female,30-49 years,234
Florida,Female,50-64 years,833
Florida,Female,65-74 years,1447
Florida,Female,75-84 years,2162
Florida,Female,85 years and over,2919
Florida,Unknown,All Ages,0
Florida,Unknown,0-17 years,0
Florida,Unknown,18-29 years,0
Florida,Unknown,30-49 years,0
Florida,Unknown,50-64 years,0
Florida,Unknown,65-74 years,0
Florida,Unknown,75-84 years,0
Florida,Unknown,85 years and over,0
Georgia,All Sexes,All Ages,7544
Georgia,Male,All Ages,3980
Georgia,Male,0-17 years,0
Georgia,Male,18-29 years,20
Georgia,Male,30-49 years,234
Georgia,Male,50-64 years,816
Georgia,Male,65-74 years,1128
Georgia,Male,75-84 years,1102
Georgia,Male,85 years and over,673
Georgia,Female,All Ages,3564
Georgia,Female,0-17 years,0
Georgia,Female,18-29 years,18
Georgia,Female,30-49 years,177
Georgia,Female,50-64 years,555
Georgia,Female,65-74 years,797
Georgia,Female,75-84 years,950
Georgia,Female,85 years and over,1066
Georgia,Unknown,All Ages,0
Georgia,Unknown,0-17 years,0
Georgia,Unknown,18-29 years,0
Georgia,Unknown,30-49 years,0
Georgia,Unknown,50-64 years,0
Georgia,Unknown,65-74 years,0
Georgia,Unknown,75-84 years,0
Georgia,Unknown,85 years and over,0
Hawaii,All Sexes,All Ages,299
Hawaii,Male,All Ages,188
Hawaii,Male,0-17 years,0
Hawaii,Male,18-29 years,0
Hawaii,Male,30-49 years,0
Hawaii,Male,50-64 years,42
Hawaii,Male,65-74 years,49
Hawaii,Male,75-84 years,45
Hawaii,Male,85 years and over,45
Hawaii,Female,All Ages,111
Hawaii,Female,0-17 years,0
Hawaii,Female,18-29 years,0
Hawaii,Female,30-49 years,0
Hawaii,Female,50-64 years,18
Hawaii,Female,65-74 years,18
Hawaii,Female,75-84 years,21
Hawaii,Female,85 years and over,48
Hawaii,Unknown,All Ages,0
Hawaii,Unknown,0-17 years,0
Hawaii,Unknown,18-29 years,0
Hawaii,Unknown,30-49 years,0
Hawaii,Unknown,50-64 years,0
Hawaii,Unknown,65-74 years,0
Hawaii,Unknown,75-84 years,0
Hawaii,Unknown,85 years and over,0
Idaho,All Sexes,All Ages,853
Idaho,Male,All Ages,480
Idaho,Male,0-17 years,0
Idaho,Male,18-29 years,0
Idaho,Male,30-49 years,15
Idaho,Male,50-64 years,48
Idaho,Male,65-74 years,109
Idaho,Male,75-84 years,162
Idaho,Male,85 years and over,144
Idaho,Female,All Ages,373
Idaho,Female,0-17 years,0
Idaho,Female,18-29 years,0
Idaho,Female,30-49 years,10
Idaho,Female,50-64 years,28
Idaho,Female,65-74 years,69
Idaho,Female,75-84 years,99
Idaho,Female,85 years and over,167
Idaho,Unknown,All Ages,0
Idaho,Unknown,0-17 years,0
Idaho,Unknown,18-29 years,0
Idaho,Unknown,30-49 years,0
Idaho,Unknown,50-64 years,0
Idaho,Unknown,65-74 years,0
Idaho,Unknown,75-84 years,0
Idaho,Unknown,85 years and over,0
Illinois,All Sexes,All Ages,10093
Illinois,Male,All Ages,5493
Illinois,Male,0-17 years,0
Illinois,Male,18-29 years,28
Illinois,Male,30-49 years,335
Illinois,Male,50-64 years,1002
Illinois,Male,65-74 years,1337
Illinois,Male,75-84 years,1476
Illinois,Male,85 years and over,1313
Illinois,Female,All Ages,4600
Illinois,Female,0-17 years,0
Illinois,Female,18-29 years,14
Illinois,Female,30-49 years,133
Illinois,Female,50-64 years,516
Illinois,Female,65-74 years,766
Illinois,Female,75-84 years,1147
Illinois,Female,85 years and over,2023
Illinois,Unknown,All Ages,0
Illinois,Unknown,0-17 years,0
Illinois,Unknown,18-29 years,0
Illinois,Unknown,30-49 years,0
Illinois,Unknown,50-64 years,0
Illinois,Unknown,65-74 years,0
Illinois,Unknown,75-84 years,0
Illinois,Unknown,85 years and over,0
Indiana,All Sexes,All Ages,5074
Indiana,Male,All Ages,2585
Indiana,Male,0-17 years,0
Indiana,Male,18-29 years,0
Indiana,Male,30-49 years,77
Indiana,Male,50-64 years,348
Indiana,Male,65-74 years,646
Indiana,Male,75-84 years,776
Indiana,Male,85 years and over,731
Indiana,Female,All Ages,2489
Indiana,Female,0-17 years,0
Indiana,Female,18-29 years,0
Indiana,Female,30-49 years,48
Indiana,Female,50-64 years,213
Indiana,Female,65-74 years,401
Indiana,Female,75-84 years,701
Indiana,Female,85 years and over,1120
Indiana,Unknown,All Ages,0
Indiana,Unknown,0-17 years,0
Indiana,Unknown,18-29 years,0
Indiana,Unknown,30-49 years,0
Indiana,Unknown,50-64 years,0
Indiana,Unknown,65-74 years,0
Indiana,Unknown,75-84 years,0
Indiana,Unknown,85 years and over,0
Iowa,All Sexes,All Ages,2450
Iowa,Male,All Ages,1268
Iowa,Male,0-17 years,0
Iowa,Male,18-29 years,0
Iowa,Male,30-49 years,44
Iowa,Male,50-64 years,186
Iowa,Male,65-74 years,240
Iowa,Male,75-84 years,349
Iowa,Male,85 years and over,446
Iowa,Female,All Ages,1182
Iowa,Female,0-17 years,0
Iowa,Female,18-29 years,0
Iowa,Female,30-49 years,16
Iowa,Female,50-64 years,102
Iowa,Female,65-74 years,177
Iowa,Female,75-84 years,315
Iowa,Female,85 years and over,567
Iowa,Unknown,All Ages,0
Iowa,Unknown,0-17 years,0
Iowa,Unknown,18-29 years,0
Iowa,Unknown,30-49 years,0
Iowa,Unknown,50-64 years,0
Iowa,Unknown,65-74 years,0
Iowa,Unknown,75-84 years,0
Iowa,Unknown,85 years and over,0
