state,sex,ageGroup,deathTotals,pop
United States,All Sexes,All Ages,313171,328239523
United States,All Sexes,0-17 years,151,74444287
United States,All Sexes,18-29 years,1205,49649854
United States,All Sexes,30-49 years,12712,86133943
United States,All Sexes,50-64 years,46417,63953176
United States,All Sexes,65-74 years,66745,31483433
United States,All Sexes,75-84 years,85925,15969872
United States,All Sexes,85 years and over,100016,6604958
United States,Male,All Ages,169742,0
United States,Male,0-17 years,86,0
United States,Male,18-29 years,751,0
United States,Male,30-49 years,8522,0
United States,Male,50-64 years,30023,0
United States,Male,65-74 years,40863,0
United States,Male,75-84 years,47988,0
United States,Male,85 years and over,41509,0
United States,Female,All Ages,143423,0
United States,Female,0-17 years,65,0
United States,Female,18-29 years,454,0
United States,Female,30-49 years,4190,0
United States,Female,50-64 years,16393,0
United States,Female,65-74 years,25881,0
United States,Female,75-84 years,37935,0
United States,Female,85 years and over,58505,0
United States,Unknown,All Ages,6,0
United States,Unknown,0-17 years,0,0
United States,Unknown,18-29 years,0,0
United States,Unknown,30-49 years,0,0
United States,Unknown,50-64 years,1,0
United States,Unknown,65-74 years,1,0
United States,Unknown,75-84 years,2,0
United States,Unknown,85 years and over,2,0
Alabama,All Sexes,All Ages,5423,0
Alabama,Male,All Ages,2844,0
Alabama,Male,0-17 years,0,0
Alabama,Male,18-29 years,16,0
Alabama,Male,30-49 years,135,0
Alabama,Male,50-64 years,535,0
Alabama,Male,65-74 years,793,0
Alabama,Male,75-84 years,830,0
Alabama,Male,85 years and over,534,0
Alabama,Female,All Ages,2579,0
Alabama,Female,0-17 years,0,0
Alabama,Female,18-29 years,0,0
Alabama,Female,30-49 years,102,0
Alabama,Female,50-64 years,394,0
Alabama,Female,65-74 years,563,0
Alabama,Female,75-84 years,705,0
Alabama,Female,85 years and over,808,0
Alabama,Unknown,All Ages,0,0
Alabama,Unknown,0-17 years,0,0
Alabama,Unknown,18-29 years,0,0
Alabama,Unknown,30-49 years,0,0
Alabama,Unknown,50-64 years,0,0
Alabama,Unknown,65-74 years,0,0
Alabama,Unknown,75-84 years,0,0
Alabama,Unknown,85 years and over,0,0
Alaska,All Sexes,All Ages,169,0
Alaska,Male,All Ages,97,0
Alaska,Male,0-17 years,0,0
