state,capital,latitude,longitude,population,statecode
Alabama,Montgomery,32.6010112,-86.6807365,4903185,AL
Alaska,Juneau,65.237000,-150.859473,731545,AK
Arizona,Phoenix,34.1682185,-111.930907,7278717,AZ
Arkansas,Little Rock,34.7519275,-92.1313784,3017804,AR
California,Sacramento,37.2718745,-119.2704153,39512223,CA
Colorado,Denver,38.9979339,-105.550567,5758736,CO
Connecticut,Hartford,41.5187835,-72.757507,3565287,CT
Delaware,Dover,39.145251,-75.4189206,973764,DE
Florida,Tallahassee,28.478781,-81.431532,21477737,FL
Georgia,Atlanta,32.6781248,-83.2229757,10617423,GA
Hawaii,Honolulu,20.46,-157.505,1415872,HI
Idaho,Boise,43.873944,-114.413875,1787065,ID
Illinois,Springfield,39.739318,-89.504139,12671821,IL
Indiana,Indianapolis,39.7662195,-86.441277,6732219,IN
Iowa,Des Moines,41.9383166,-93.389798,3155070,IA
Kansas,Topeka,38.4987789,-98.3200779,2913314,KS
Kentucky,Frankfort,37.8222935,-85.7682399,4467673,KY
Louisiana,Baton Rouge,31.153199,-92.579388,4648794,LA
Maine,Augusta,45.2185133,-69.0148656,1344212,ME
Maryland,Annapolis,38.8063524,-77.2684162,6045680,MD
Massachusetts,Boston,42.0629398,-71.718067,6892503,MA
Michigan,Lansing,43.739134,-84.744559,9986857,MI
Minnesota,St. Paul,46.4418595,-93.3655146,5639632,MN
Mississippi,Jackson,32.5851062,-89.8772196,2976149,MS
Missouri,Jefferson City,38.3046615,-92.437099,6137428,MO
Montana,Helena,46.6797995,-110.044783,1068778,MT
Nebraska,Lincoln,41.5008195,-99.680902,1934408,NE
Nevada,Carson City,38.502032,-117.0230604,3080156,NV
New Hampshire,Concord,44.0012306,-71.5799231,1359711,NH
New Jersey,Trenton,40.1430058,-74.7311156,8882190,NJ
New Mexico,Santa Fe,34.1662325,-106.0260685,2096829,NM
New York,Albany,42.841838,-74.909109,19453561,NY
North Carolina,Raleigh,35.2145629,-79.8912675,10488084,NC
North Dakota,Bismarck,47.4678819,-100.3022655,762062,ND
Ohio,Columbus,40.1903624,-82.6692525,11689100,OH
Oklahoma,Oklahoma City,35.3097654,-98.7165585,3956971,OK
Oregon,Salem,44.1419049,-120.5380993,4217737,OR
Pennsylvania,Harrisburg,40.9945928,-77.6046984,12801989,PA
Rhode Island,Providence,41.5827282,-71.5064508,1059361,RI
South Carolina,Columbia,33.62505,-80.9470381,5148714,SC
South Dakota,Pierre,44.2126995,-100.2471641,884659,SD
Tennessee,Nashville,35.830521,-85.9785989,6829174,TN
Texas,Austin,31.1693363,-100.0768425,28995881,TX
Utah,Salt Lake City,39.4997605,-111.547028,3205958,UT
Vermont,Montpelier,43.8717545,-72.4477828,623989,VT
Virginia,Richmond,38.0033855,-79.4587861,8535519,VA
Washington,Olympia,47.258451,-120.598537,7614893,WA
West Virginia,Charleston,38.9201705,-80.1816905,1792147,WV
Wisconsin,Madison,44.7862968,-89.8267049,5822434,WI
Wyoming,Cheyenne,43.000325,-107.5545669,578759,WY
